0Invert X|反转X轴
Invert Y|反转Y轴
Champion|英杰
NEW GAME|新游戏
THE MONK|僧侣
The Wall|高墙
The Monk|僧侣
WINDOWED|窗口化
LANGUAGE|语言
JAPANESE|日语
KEYBOARD|键盘
Keyboard|键盘
4 - TEST|4 - 测试
STANDARD|标准
CONTINUE|继续
Add item|添加物品
Deaths :|死亡：
Ascended|已飞升
PREVIOUS|上一个
SaveData|保存数据
Presets:|预设：
Oh. You.|哦。是你。
creature|生灵
invert_x_description|反转摇杆X轴
invert_y_description|反转摇杆Y轴
rounds per level-ru2|每关持续回合
objecttype-FlareBomb|闪光弹
objecttype-DataPearl|珍珠
objecttype-JellyFish|水母
objecttype-SlimeMold|黏菌
objecttype-EggBugEgg|蛋虫卵
objecttype-NeedleEgg|面条蝇卵
creaturetype-Slugcat|蛞蝓猫
creaturetype-Vulture|秃鹫
creaturetype-CicadaA|蝉乌贼
creaturetype-CicadaB|蝉乌贼
creaturetype-JetFish|喷射鱼
creaturetype-DropBug|落网虫
Communications Array|通讯阵列
Stolen Enlightenment|窃光者
Path of the pacifist|和睦共处之道
The Saint-linebreaks|圣徒
switch_controls_jump|B键
Gametype description|游戏类型描述
Play each level once|每个关卡游玩一次
Normal Rain World AI|普通雨世界AI
for killing creature|（消灭生物）
Persistent creatures|固定生物
controller_reconnect|请重新连接玩家{0}的控制器。
mod_menu_requirement|需要附加模组：
mod_menu_ext_authors|查看该模组的制作人员名单
mod_menu_disable_all|禁用所有模组
Building token cache|正在构建代币缓存
OpCheckBox_MouseTuto|点击切换
OpUpdown_NonMouseUse|使用摇杆调整，按确认键以应用
MenuModStat_ModsFail|缺少附加安装要求的已安装模组：
Connector_UnnamedTab|#<TabIndex>
Increased stun times|增加击昏时长
Wiggle out of grasps|摇动挣脱抓握
Key items on Passage|传送关键物品
Monk extended breath|僧侣延长憋气
Breath time leniency|溺水保护期
Rain timer tick-tock|雨时计音效
Vulnerable jellyfish|脆弱水母
Unlock all campaigns|解锁全部剧情
More Slugcats Cheats|更多蛞蝓猫作弊
Exit to title screen|退出至标题界面
Preparing for upload|准备上传
devtools-description|启用游戏内开发者工具，它提供编辑地图和区域的必要工具，<LINE>并且可以帮助你为游戏添加模组。<LINE><LINE>在游戏中按“O”即可启用/禁用开发者工具，<LINE>然后按“H”即可调出主要开发者工具界面。
...leave me alone...|……别来打扰我……
Hello, <PlayerName>!|你好，<PlayerName>！
Hello, <PlayerName>.|你好，<PlayerName>。
...don't... do that.|……别……那样做。
Another gift for me?|另一份给我的礼物？
Again? ... just, go.|又来？……快走吧。
Little archaeologist|小考古学家
remix_game_version|游戏版本更新了。你需要通过扩展界面重新应用你的模组。
ROUNDS SESSION-ru2|回合战局
objecttype-SeedCob|爆米花
objecttype-Lantern|灯笼
objecttype-FlyLure|蝠蝇饵
creaturetype-Leech|水蛭
creaturetype-Snail|蜗牛
creaturetype-Hazer|墨鱼
Industrial Complex|工业区
Scavenger Merchant|拾荒者商贩
Path of aggression|犁庭扫穴之道
Catch and eat them|抓住并吃掉它们
Configure controls|配置控制方式
No players joined!|无玩家加入！
Start new playlist|开始新的游玩列表
minutes until rain|分钟后降雨
mod_menu_next_page|查看下一页已安装模组
mod_menu_prev_page|查看上一页已安装模组
mod_menu_configure|修改已选模组的配置
OpUpdown_MouseTuto|点击并输入数字，使用方向键或滚轮调整
Dialog pauses rain|对话停雨
Lizard spear pulls|蜥蜴拔矛
Slow Motion Factor|慢动作系数
remix_first_launch|你可以通过拓展菜单访问其他内容和配置。使用拓展即可添加、修改或自定义雨世界游戏中可用的内容。
remix_dlc_redirect|点击内容访问商店页面以了解更多信息。
How have you been?|最近怎么样？
You're here again.|你又来了。
...you...killed...|……你……杀了……
Yet another thing?|又是什么东西？
Yet again leaving.|又要走了。
Yes, there you go.|好，你走吧。
As I was saying...|我之前说过……
Stay! ... Still...|安静！……别动了……
I am... too tired.|我……太累了。
Assign player <X> to the default controls|为玩家<X>分配至默认控制
Something lurks above the chimney tops...|有什么隐匿在天棚顶端……
These pearls are valued by the Scavengers|这些珍珠对于拾荒者来说很有价值
Game Over - Press PAUSE BUTTON to restart|游戏结束 - 按“暂停键”重新开始
Player <X> will use any connected gamepad|玩家<X>将使用任意已连接设备
switch_single_joycon_fast_travel_map_help|按SR键选择你想继续游戏的庇护所
Press the MAP button to view regional map|按地图按键查看区域地图
Jellyfish are vulnerable to being stabbed|水母可以被刺伤
Are you sure you want to use this preset?|你确定要使用该预设吗？
Makes Saint's body immune to the elements|使圣徒的身体对此元素免疫
The operation timed out. Try again later.|操作已超时。请稍后再试。
This item already exists on the workshop.|该项已在创意工坊中存在。
Previously uploaded mod has been updated.|之前上传的模组已经更新。
And...now you expect me to... talk again?|然后……现在你又想让我……再次开口？
PRESET|预设
CANCEL|取消
Depths|深渊
SCREEN|屏幕
FRENCH|法语
GERMAN|德语
KOREAN|韩语
Player|玩家
Square|正方
Circle|圆圈
Arrows|方向键
Paused|已暂停
minute|分钟
PLAYER|玩家
ALWAYS|永远
REMOVE|移除
Food :|食物：
Time :|时间：
cancel|取消
Select|选择
? Back|“?”返回
? play|“?”开始游戏
Legacy|传统
Cheats|作弊
MANUAL|手册
TOPICS|主题
UPLOAD|上传
LEAVE.|滚。
You...|你……
Hello!|你好！
Hello.|你好。
Again.|又一次。
*sigh*|*叹气*
friend|朋友
little|小
Clear the game as Survivor or Monk to unlock.|用求生者或僧侣通关游戏后解锁。
Objects can be picked up, carried, and tossed|你可以捡起并携带物体，也可以投掷物体
Some small creatures can be eaten immediately|某些小型生物可以被立刻吃掉
MenuModList_ModButton_Enable_NonMouse_Console|按确认键启用该内容，按右方向键返回到列表
Show icons of nearby creatures on the minimap|在小地图上显示附近生物的图标
You are bringing a neuron. Is it to taunt me?|你带了个神经元来，是为了嘲笑我吗？
Your curiosity seems boundless, <PlayerName>.|你的好奇心似乎没有尽头，<PlayerName>。
remix_dlc_restart|如果你已经购买了DLC，你需要重新启动游戏方可激活其内容。
Expedition Leader|探索领队
creaturetype-Deer|雨鹿
Looks to the Moon|仰望皓月
Filtration System|过滤系统
The Dragon Slayer|屠龙者
Back to main menu|返回主菜单
1 - SELECT PLAYER|1 - 选择玩家
2 - SELECT DEVICE|2 - 选择设备
Previous gametype|上一个游戏类型
Reset score setup|重置得分设置
ps4_press_to_join|按下<LINE><LINE><LINE>加入。
minute until rain|分钟后降雨
per point of food|（每点食物）
Delivered Payload|已送达运载物
Leaderboard empty|排行榜为空
mod_menu_finalize|（正在完成应用模组，请稍候……）
MenuModStat_ModID|ID：<ModID>
Key item tracking|关键物品追踪
Alpha red lizards|烈焰蜥蜴增强
Unlock all arenas|解锁全部竞技场
moreslugcats-name|更多蛞蝓猫扩展包
Yet another gift?|又是一份礼物？
And you are back.|你回来了。
A Helping Hand|援手
mod_menu_error|由于以下错误的发生，模组安装失败了：
Garbage Wastes|垃圾堆
Shaded Citadel|暗影城堡
Chimney Canopy|烟囱天棚
Unknown Region|未知区域
Scavenger Toll|拾荒者收费站
RESET PROGRESS|重置进度
Input Settings|输入设置
Pick-Up Button|拾取按键
ROUNDS SESSION|回合战局
RESUME SESSION|回到战局
Clear playlist|清除列表
Eating contest|进食竞赛
Aggressive AI:|侵略性AI：
Change Profile|变更个人信息
mod_menu_apply|应用所选模组的更改
Speedrun timer|速通计时器
jollycoop-name|惬意合作模式
Leaving again.|又要走了。
Within Time|时限未尽
The Pilgrim|朝圣者
DELETE SAVE|删除存档
Sky Islands|天空群岛
Farm Arrays|农场阵列
The Scholar|学者
The Journey|旅途
Arena Music|竞技场音乐
Jump Button|跳跃按键
NEW SESSION|新战局
Spears Hit:|玩家互伤
Rain Timer:|降雨计时器：
No wildlife|无野生动物
Level Food:|关卡食物：
Allow exit:|允许离开：
Early Rain:|提前下雨：
SCREEN SIZE|屏幕大小
Slug Senses|蛞蝓感知
...leave...|……离开……
This again.|又来了。
And...back.|又……回来了。
Back again.|又回来了。
Here again.|又来了。
I...said...|我……说过……
Migration|迁徙
Messenger|信使
The Cycle|轮回
The Nomad|流浪者
Outskirts|郊区
Shoreline|海岸线
Underhang|下悬架
The Saint|圣徒
Ascension|飞升
SAVE SLOT|存档位
vibration|振动
Connected|已连接
Wildlife:|野生动物：
Spear hit|玩家互伤
GAME OVER|游戏结束
Clear all|清除全部
? Confirm|“?”确认
NEXT PAGE|下一页
Next Page|下一页
CONFIGURE|配置
Author(s)|作者
VIEW EULA|查看《最终用户许可协议》
Uploading|上传中
A neuron.|一个神经元。
tormentor|折磨者
Closure|如释重负
REGIONS|区域
OPTIONS|选项
The Leg|支架
CREDITS|制作与鸣谢
ENGLISH|英语
ITALIAN|意大利语
SPANISH|西班牙语
RUSSIAN|俄语
CHINESE|中文
GAMEPAD|游戏手柄
Hold R1|按住R1
Options|选项
Hold RB|按住RB
minutes|分钟
No rain|不降雨
Survive|存活
Winner!|胜者！
RESTART|重新开始
PASSAGE|通行证
Quits :|退出：
Ranking|积分
Profile|个人信息
In Game|游戏内
In Menu|菜单内
Version|版本
General|通用
Presets|预设
CLASSIC|经典
RELAXED|休闲
Assists|辅助
Failure|故障
...you.|……你。
Please!|求你了！
An Old Friend|旧友
Memory Crypts|记忆陵墓
The Chieftain|酋长
Music volume:|音乐音量：
Sound Effects|音效
Pick up / Eat|拾取/进食
INPUT PRESETS|输入预设
Next gametype|下一个游戏类型
ROUND SESSION|回合战局
Approximately|大约
Press to join|按下加入游戏
Repeat Rooms:|重复房间：
High wildlife|大量野生动物
for surviving|（存活）
per spear hit|（每次长矛击中）
Configuration|配置
HOLD TO START|按住以开始
REGION SELECT|区域选择
Fetching Data|获取数据
PREVIOUS PAGE|上一页
Previous Page|上一页
Accessibility|无障碍
Hunter Cycles|猎手雨循环
Wall pouncing|弹墙跳
devtools-name|开发者工具
Thank... you.|谢谢……你。
What is that?|那是什么？
Another gift?|另一份礼物？
...thank you.|……谢谢你。
And...listen!|听我……说！
Little friend|小朋友
archaeologist|考古学家
The Martyr|殉道者
The Mother|慈母
Rain World|雨世界
STATISTICS|统计数据
THE HUNTER|猎手
The Hunter|猎手
The Outlaw|暴徒
The Friend|朋友
Pilgrimage|朝圣之旅
FULLSCREEN|全屏
SAVE FILES|存档文件
PORTUGUESE|葡萄牙语
TEST INPUT|测试输入
Left Stick|左操作杆
Hold Space|按住空格
Map Button|地图按键
Free food!|免费食物！
Loading...|加载中……
CROSS-SAVE|跨平台保存
Load Order|加载顺序
Oh, hello!|哦，你好！
Oh, hello.|哦，你好。
You again.|又是你。
...rain...|……雨……
...stop...|……停下……
Thank you.|谢谢你。
A final charitable act|临终慈悲之举
Path of self-sacrifice|自我献身之道
objecttype-VultureMask|秃鹫面具
objecttype-DangleFruit|蓝果
objecttype-KarmaFlower|业力花
objecttype-BubbleGrass|气泡草
creaturetype-RedLizard|烈焰蜥蜴
creaturetype-PoleMimic|拟态草
creaturetype-MirosBird|钢鸟
creaturetype-Centipede|蜈蚣
creaturetype-Centiwing|飞蜈蚣
creaturetype-Scavenger|拾荒者
creaturetype-BigSpider|狼蛛
